x_index        y_index        z_index      Dose (Gy)
0              0              0    2.56101e-06
1              0              0    2.61781e-06
2              0              0    2.63438e-06
3              0              0     2.6278e-06
4              0              0    2.64149e-06
5              0              0    2.64217e-06
6              0              0    2.66702e-06
7              0              0    2.67213e-06
8              0              0     2.6711e-06
9              0              0     2.6827e-06
10              0              0    2.69018e-06
11              0              0    2.68561e-06
12              0              0    2.70172e-06
13              0              0    2.70657e-06
14              0              0    2.71831e-06
15              0              0    2.72701e-06
16              0              0     2.7366e-06
17              0              0    2.73571e-06
18              0              0    2.75938e-06
19              0              0    2.78182e-06
20              0              0    2.78411e-06
21              0              0    2.79591e-06
22              0              0    2.80525e-06
23              0              0    2.81319e-06
24              0              0    2.81629e-06
25              0              0    2.81941e-06
26              0              0    2.82424e-06
27              0              0    2.84947e-06
28              0              0    2.85448e-06
29              0              0    2.87094e-06
30              0              0    2.88767e-06
31              0              0    2.89886e-06
32              0              0    2.90942e-06
33              0              0    2.92376e-06
34              0              0    2.93988e-06
35              0              0    2.94187e-06
36              0              0    2.96077e-06
37              0              0    2.96769e-06
38              0              0    2.99244e-06
39              0              0    3.01311e-06
40              0              0    3.02265e-06
41              0              0    3.05086e-06
42              0              0       3.07e-06
43              0              0    3.08407e-06
44              0              0    3.09967e-06
45              0              0    3.11894e-06
46              0              0    3.15015e-06
47              0              0    3.17818e-06
48              0              0    3.19196e-06
49              0              0     3.2136e-06
50              0              0    3.24458e-06
51              0              0    3.26392e-06
52              0              0    3.28571e-06
53              0              0     3.3203e-06
54              0              0    3.34346e-06
55              0              0      3.388e-06
56              0              0    3.41605e-06
57              0              0    3.45122e-06
58              0              0    3.49364e-06
59              0              0    3.53878e-06
60              0              0     3.5911e-06
61              0              0    3.62065e-06
62              0              0    3.67022e-06
63              0              0    3.73191e-06
64              0              0    3.76593e-06
65              0              0     3.8486e-06
66              0              0    3.89799e-06
67              0              0     3.9691e-06
68              0              0    4.02386e-06
69              0              0    4.11049e-06
70              0              0    4.18982e-06
71              0              0    4.29242e-06
72              0              0    4.38929e-06
73              0              0    4.49925e-06
74              0              0    4.60824e-06
75              0              0    4.76729e-06
76              0              0    4.92337e-06
77              0              0     5.1149e-06
78              0              0    5.30941e-06
79              0              0     5.5296e-06
80              0              0    5.80631e-06
81              0              0    6.14464e-06
82              0              0    6.59954e-06
83              0              0     7.1777e-06
84              0              0    7.98943e-06
85              0              0    9.39213e-06
86              0              0    1.35036e-05
87              0              0    1.20203e-05
88              0              0    8.09516e-07
89              0              0    7.02136e-07
90              0              0    6.47985e-07
91              0              0    6.23141e-07
92              0              0    6.16513e-07
93              0              0    6.09229e-07
94              0              0    5.89859e-07
95              0              0     5.7194e-07
96              0              0    5.61107e-07
97              0              0    5.45891e-07
98              0              0    5.36152e-07
99              0              0    5.15472e-07
100              0              0     4.9656e-07
101              0              0    4.77938e-07
102              0              0    4.71761e-07
103              0              0    4.53831e-07
104              0              0    4.44642e-07
105              0              0    4.35284e-07
106              0              0    3.97053e-07
107              0              0    3.89953e-07
108              0              0    3.81685e-07
109              0              0    3.67882e-07
110              0              0    3.68533e-07
111              0              0    3.63572e-07
112              0              0    3.41179e-07
113              0              0    3.31878e-07
114              0              0    3.26381e-07
115              0              0    3.28411e-07
116              0              0    3.19919e-07
117              0              0    3.18554e-07
118              0              0    3.13868e-07
119              0              0    3.08403e-07
120              0              0    2.99853e-07
121              0              0    3.02706e-07
122              0              0    2.92662e-07
123              0              0    2.93949e-07
124              0              0    2.91294e-07
125              0              0    2.88534e-07
126              0              0    2.81198e-07
127              0              0    2.80567e-07
128              0              0     2.7537e-07
129              0              0    2.71766e-07
130              0              0    2.69993e-07
131              0              0    2.71831e-07
132              0              0    2.65835e-07
133              0              0    2.66537e-07
134              0              0    2.61676e-07
135              0              0     2.5052e-07
136              0              0    2.47952e-07
137              0              0     2.4493e-07
138              0              0    2.43544e-07
139              0              0    2.43528e-07
140              0              0    2.43859e-07
141              0              0      2.371e-07
142              0              0    2.33909e-07
143              0              0    2.30336e-07
144              0              0    2.26283e-07
145              0              0    2.24751e-07
146              0              0    2.21551e-07
147              0              0    2.16926e-07
148              0              0    2.14894e-07
149              0              0    2.13189e-07
150              0              0    2.11755e-07
151              0              0    2.05129e-07
152              0              0    2.02993e-07
153              0              0    1.99766e-07
154              0              0    1.95807e-07
155              0              0    1.94652e-07
156              0              0    1.95307e-07
157              0              0    1.94344e-07
158              0              0    1.95724e-07
159              0              0    1.95621e-07
160              0              0    1.86703e-07
161              0              0    1.84113e-07
162              0              0    1.78734e-07
163              0              0     1.7829e-07
164              0              0    1.72768e-07
165              0              0    1.71004e-07
166              0              0    1.71424e-07
167              0              0     1.6971e-07
168              0              0    1.68925e-07
169              0              0    1.61984e-07
170              0              0    1.61497e-07
171              0              0    1.63311e-07
172              0              0    1.61717e-07
173              0              0      1.595e-07
