x_index        y_index        z_index      Dose (Gy)
0              0              0     1.0713e-09
0              1              0     8.8376e-10
0              2              0    5.25699e-10
0              3              0    3.93791e-09
0              4              0    7.16575e-09
0              5              0     8.7033e-09
0              6              0    5.32877e-09
0              7              0    6.81539e-09
0              8              0    1.09853e-09
0              9              0    9.46857e-10
0             10              0    1.31157e-09
0             11              0    6.74516e-10
0             12              0    4.15777e-09
0             13              0    5.06139e-09
0             14              0    1.02325e-08
0             15              0     6.0433e-09
0             16              0    5.17693e-09
0             17              0    1.06183e-08
0             18              0    1.90055e-08
0             19              0     1.0455e-08
0             20              0    9.63742e-09
0             21              0    2.19233e-09
0             22              0    1.50789e-09
0             23              0    1.45818e-08
0             24              0    4.95704e-09
0             25              0    6.23029e-09
0             26              0    7.47069e-09
0             27              0     1.0904e-08
0             28              0     1.2564e-08
0             29              0    3.41253e-08
0             30              0    1.16682e-08
0             31              0    3.86899e-08
0             32              0    2.89242e-08
0             33              0    4.63953e-08
0             34              0    2.58941e-08
0             35              0    6.04398e-08
0             36              0    5.59299e-08
0             37              0    4.54482e-08
0             38              0    4.94795e-08
0             39              0    2.77877e-08
0             40              0    2.72642e-08
0             41              0    3.82707e-08
0             42              0    4.80709e-08
0             43              0    5.91324e-08
0             44              0    1.10356e-07
0             45              0     1.5645e-07
0             46              0    1.84981e-07
0             47              0    3.24068e-07
0             48              0    5.84228e-07
0             49              0     0.00114853
0             50              0     0.00140817
0             51              0    4.58155e-07
0             52              0    2.14775e-07
0             53              0    1.67571e-07
0             54              0    8.33139e-08
0             55              0    4.59413e-08
0             56              0    3.95885e-08
0             57              0    3.26249e-08
0             58              0    3.18636e-08
0             59              0    2.62702e-08
0             60              0    1.20088e-08
0             61              0    3.13952e-08
0             62              0    3.60477e-08
0             63              0    1.68065e-08
0             64              0     2.1256e-08
0             65              0    6.95474e-09
0             66              0    1.18932e-08
0             67              0    2.04175e-08
0             68              0    1.50145e-08
0             69              0    2.15009e-08
0             70              0    1.24161e-08
0             71              0    1.39121e-08
0             72              0     2.9333e-08
0             73              0    4.75943e-09
0             74              0    5.08181e-09
0             75              0    1.02906e-08
0             76              0    9.89414e-09
0             77              0    7.37214e-09
0             78              0    8.89306e-09
0             79              0    2.04877e-09
0             80              0     2.0126e-09
0             81              0    8.20677e-09
0             82              0    6.66866e-09
0             83              0    4.56724e-09
0             84              0    8.26609e-09
0             85              0    1.56881e-08
0             86              0    3.91393e-09
0             87              0    1.45072e-08
0             88              0    5.28027e-09
0             89              0    4.63509e-09
0             90              0    1.42166e-09
0             91              0    3.15647e-10
0             92              0    5.02477e-10
0             93              0    1.15236e-09
0             94              0    8.94744e-10
0             95              0    9.29734e-10
0             96              0    9.09519e-10
0             97              0    5.39554e-10
0             98              0    5.33575e-10
0             99              0    1.71448e-10
1              0              0    4.10232e-10
1              1              0     5.6222e-10
1              2              0    1.73788e-09
1              3              0    9.80501e-10
1              4              0    6.27533e-09
1              5              0    1.43273e-08
1              6              0    6.22218e-09
1              7              0    8.13571e-09
1              8              0    7.89867e-09
1              9              0    4.66419e-10
1             10              0    5.98389e-09
1             11              0    1.45962e-08
1             12              0    1.77615e-08
1             13              0    1.45961e-08
1             14              0    8.44178e-09
1             15              0    5.93732e-09
1             16              0    2.31324e-09
1             17              0    1.50129e-08
1             18              0    8.97424e-09
1             19              0    1.16787e-08
1             20              0    8.21632e-09
1             21              0    1.04526e-08
1             22              0    9.19763e-09
1             23              0      9.103e-09
1             24              0    1.53693e-08
1             25              0    1.76852e-08
1             26              0    5.74146e-09
1             27              0    2.24878e-08
1             28              0    1.61197e-08
1             29              0    2.62825e-08
1             30              0    4.08725e-08
1             31              0    4.33984e-08
1             32              0    3.04508e-08
1             33              0    5.05971e-08
1             34              0    5.37424e-08
1             35              0    5.99119e-08
1             36              0    6.41111e-08
1             37              0    5.31728e-08
1             38              0    5.38508e-08
1             39              0     6.7549e-08
1             40              0     5.5938e-08
1             41              0    6.62235e-08
1             42              0    9.29664e-08
1             43              0    5.40418e-08
1             44              0    7.62793e-08
1             45              0    1.60863e-07
1             46              0     3.5091e-07
1             47              0    5.64969e-07
1             48              0    1.81543e-06
1             49              0     0.00130068
1             50              0     0.00130391
1             51              0    1.34761e-06
1             52              0    5.20866e-07
1             53              0    2.13189e-07
1             54              0    1.22914e-07
1             55              0    1.41522e-07
1             56              0    6.99809e-08
1             57              0    6.83453e-08
1             58              0    5.57455e-08
1             59              0    4.36985e-08
1             60              0    3.89952e-08
1             61              0    7.27523e-08
1             62              0    4.08019e-08
1             63              0    4.46999e-08
1             64              0    4.78006e-08
1             65              0    2.01814e-08
1             66              0    2.47476e-08
1             67              0    3.35326e-08
1             68              0    2.93026e-08
1             69              0      2.903e-08
1             70              0    3.96219e-08
1             71              0    4.23016e-08
1             72              0    6.65123e-09
1             73              0    9.56593e-09
1             74              0    9.06871e-09
1             75              0    3.44211e-09
1             76              0    1.83978e-08
1             77              0    2.34349e-09
1             78              0    3.20473e-09
1             79              0    3.61472e-09
1             80              0    2.89707e-08
1             81              0    1.00238e-08
1             82              0    1.29297e-08
1             83              0    6.01163e-09
1             84              0     4.0793e-09
1             85              0    3.27394e-09
1             86              0    9.27122e-10
1             87              0    3.34559e-10
1             88              0    5.49999e-09
1             89              0    2.08139e-09
1             90              0    1.46531e-08
1             91              0    1.02649e-09
1             92              0    7.30989e-10
1             93              0    2.05976e-09
1             94              0      1.757e-09
1             95              0    2.11941e-09
1             96              0    4.46053e-09
1             97              0    1.14353e-09
1             98              0    5.77386e-09
1             99              0    4.62213e-10
2              0              0    1.47692e-08
2              1              0    8.30189e-09
2              2              0    8.19636e-09
2              3              0    6.95614e-09
2              4              0    3.62656e-09
2              5              0    2.72426e-09
2              6              0    1.61401e-08
2              7              0    9.46605e-09
2              8              0     8.6755e-09
2              9              0     8.6555e-09
2             10              0    1.07874e-08
2             11              0    4.97535e-09
2             12              0    3.76464e-09
2             13              0    3.87119e-09
2             14              0    6.55655e-09
2             15              0    1.32943e-08
2             16              0    1.96862e-08
