x_index        y_index        z_index      Dose (Gy)
0              0              0              0
0              1              0    1.54242e-09
0              2              0     2.7165e-09
0              3              0    5.43059e-09
0              4              0    4.58824e-09
0              5              0     2.7092e-10
0              6              0    3.45012e-09
0              7              0     1.3523e-08
0              8              0    3.39198e-09
0              9              0    2.69104e-09
0             10              0    9.36845e-09
0             11              0    1.46647e-10
0             12              0              0
0             13              0    3.30462e-10
0             14              0    4.25465e-12
0             15              0    1.84965e-09
0             16              0    2.56033e-09
0             17              0    2.88324e-10
0             18              0     2.6131e-09
0             19              0    1.02888e-09
0             20              0    4.57307e-10
0             21              0    1.41632e-09
0             22              0    3.84754e-10
0             23              0    2.07102e-09
0             24              0    7.76709e-09
0             25              0    3.87664e-09
0             26              0     3.7139e-09
0             27              0    3.22501e-09
0             28              0    2.93532e-09
0             29              0    2.52852e-09
0             30              0    3.33834e-09
0             31              0    4.89749e-09
0             32              0    2.88827e-09
0             33              0    1.13217e-09
0             34              0    4.60509e-09
0             35              0    1.24102e-09
0             36              0    5.63735e-09
0             37              0    4.68082e-09
0             38              0    1.92234e-08
0             39              0    7.29804e-09
0             40              0    8.88926e-09
0             41              0    1.72032e-08
0             42              0    2.06385e-08
0             43              0    1.70621e-08
0             44              0    3.35772e-08
0             45              0    6.92994e-08
0             46              0    8.67429e-08
0             47              0    1.14077e-07
0             48              0     3.0963e-07
0             49              0    6.24148e-05
0             50              0    0.000224444
0             51              0    2.10918e-07
0             52              0    1.46959e-07
0             53              0    9.31617e-08
0             54              0    6.96838e-08
0             55              0    4.97299e-08
0             56              0    4.91999e-08
0             57              0    3.72919e-08
0             58              0    3.04052e-08
0             59              0    5.06764e-08
0             60              0    4.76211e-08
0             61              0    2.57939e-08
0             62              0    1.63166e-08
0             63              0    2.17313e-08
0             64              0    3.80697e-08
0             65              0    1.51807e-08
0             66              0    3.33709e-09
0             67              0    6.31548e-09
0             68              0    4.53519e-09
0             69              0    2.47727e-09
0             70              0    6.67889e-09
0             71              0    2.25741e-09
0             72              0     4.0758e-09
0             73              0    2.53043e-09
0             74              0    1.66136e-09
0             75              0     3.7257e-09
0             76              0    9.95053e-09
0             77              0    5.54067e-09
0             78              0    7.34773e-09
0             79              0    8.82871e-09
0             80              0    7.51625e-09
0             81              0     4.3074e-09
0             82              0    5.29481e-09
0             83              0    7.33926e-09
0             84              0    4.97152e-09
0             85              0    2.39445e-09
0             86              0    2.13693e-09
0             87              0    2.92496e-09
0             88              0    2.60839e-09
0             89              0    1.40589e-09
0             90              0    2.14938e-09
0             91              0    4.55115e-09
0             92              0    1.47357e-08
0             93              0    1.46216e-09
0             94              0    2.91596e-11
0             95              0    1.53835e-09
0             96              0    1.26298e-08
0             97              0    9.46144e-09
0             98              0    2.78292e-10
0             99              0    5.37389e-12
1              0              0    3.06632e-09
1              1              0    4.00596e-09
1              2              0     4.3183e-09
1              3              0    2.23994e-09
1              4              0    4.64505e-09
1              5              0    7.27263e-09
1              6              0    7.60338e-09
1              7              0    2.47125e-09
1              8              0     8.2725e-09
1              9              0    6.05701e-09
1             10              0    4.72474e-09
1             11              0    3.68221e-09
1             12              0    1.70877e-08
1             13              0      2.829e-09
1             14              0     3.8017e-11
1             15              0    5.26643e-10
1             16              0    4.45781e-09
1             17              0    3.01139e-11
1             18              0    2.91337e-09
1             19              0    1.86005e-09
1             20              0    2.56537e-09
1             21              0    1.25043e-08
1             22              0    1.14844e-08
1             23              0    9.04637e-09
1             24              0    3.71385e-09
1             25              0    1.40542e-08
1             26              0    8.54181e-09
1             27              0    2.11965e-10
1             28              0    1.23106e-08
1             29              0    9.25586e-09
1             30              0    4.50975e-09
1             31              0     4.9027e-09
1             32              0    1.97859e-09
1             33              0    3.96233e-09
1             34              0    5.93919e-09
1             35              0    1.07848e-08
1             36              0    4.03096e-09
1             37              0    1.08963e-08
1             38              0    1.20411e-08
1             39              0    9.34608e-09
1             40              0     4.5374e-08
1             41              0    2.45978e-08
1             42              0    4.42178e-08
1             43              0    5.23384e-08
1             44              0     6.6339e-08
1             45              0     6.7105e-08
1             46              0    1.05162e-07
1             47              0    1.64648e-07
1             48              0    4.05632e-07
1             49              0    0.000146984
1             50              0    0.000147081
1             51              0    5.03582e-07
1             52              0    2.94422e-07
1             53              0    1.67524e-07
1             54              0    9.01902e-08
1             55              0    7.38841e-08
1             56              0    1.07041e-07
1             57              0    4.28885e-08
1             58              0    4.86641e-08
1             59              0    3.01641e-08
1             60              0    5.02818e-08
1             61              0     9.2893e-09
1             62              0    2.22787e-08
1             63              0    3.48139e-08
1             64              0    2.12334e-08
1             65              0    2.61592e-08
1             66              0    7.72282e-09
1             67              0    2.29154e-09
1             68              0    1.85353e-09
1             69              0    3.90748e-09
1             70              0     1.1714e-08
1             71              0    2.03214e-09
1             72              0    1.98686e-09
1             73              0    2.09002e-09
1             74              0    3.22473e-09
1             75              0    1.60982e-08
1             76              0    2.64879e-08
1             77              0    6.18676e-09
1             78              0    2.29258e-09
1             79              0    1.17931e-08
1             80              0    3.12055e-09
1             81              0    5.03665e-09
1             82              0    3.00409e-09
1             83              0    1.16114e-09
1             84              0    1.50123e-09
1             85              0    2.14772e-09
1             86              0    1.26908e-09
1             87              0    4.28796e-10
1             88              0    2.10362e-09
1             89              0    5.35541e-10
1             90              0    5.80189e-09
1             91              0    5.09666e-09
1             92              0    7.10194e-10
1             93              0    1.81285e-09
1             94              0    4.91144e-09
1             95              0    4.25521e-09
1             96              0    6.42889e-10
1             97              0    3.91401e-10
