x_index        y_index        z_index      Dose (Gy)
0              0              0     2.8722e-07
1              0              0    2.98521e-07
2              0              0    2.97427e-07
3              0              0    3.00481e-07
4              0              0    3.02515e-07
5              0              0    3.02334e-07
6              0              0    3.00883e-07
7              0              0    3.01149e-07
8              0              0    3.05934e-07
9              0              0    3.05508e-07
10              0              0    3.08214e-07
11              0              0    3.05889e-07
12              0              0    3.06199e-07
13              0              0    3.10361e-07
14              0              0    3.09528e-07
15              0              0    3.08381e-07
16              0              0    3.07997e-07
17              0              0     3.0894e-07
18              0              0    3.10442e-07
19              0              0    3.15202e-07
20              0              0    3.15222e-07
21              0              0    3.12724e-07
22              0              0    3.12008e-07
23              0              0    3.11419e-07
24              0              0    3.13274e-07
25              0              0    3.12223e-07
26              0              0    3.16051e-07
27              0              0    3.12471e-07
28              0              0    3.14193e-07
29              0              0    3.19864e-07
30              0              0    3.14641e-07
31              0              0    3.13329e-07
32              0              0    3.12511e-07
33              0              0    3.14335e-07
34              0              0    3.18482e-07
35              0              0    3.16479e-07
36              0              0    3.18269e-07
37              0              0    3.19409e-07
38              0              0    3.21511e-07
39              0              0    3.21286e-07
40              0              0    3.21944e-07
41              0              0    3.22495e-07
42              0              0    3.20015e-07
43              0              0    3.21014e-07
44              0              0    3.20737e-07
45              0              0    3.23253e-07
46              0              0    3.24164e-07
47              0              0    3.26528e-07
48              0              0    3.21863e-07
49              0              0    3.21441e-07
50              0              0    3.24208e-07
51              0              0    3.28952e-07
52              0              0    3.23478e-07
53              0              0    3.29935e-07
54              0              0    3.25092e-07
55              0              0     3.2687e-07
56              0              0     3.2674e-07
57              0              0    3.25771e-07
58              0              0    3.25086e-07
59              0              0     3.3167e-07
60              0              0    3.28961e-07
61              0              0    3.36236e-07
62              0              0    3.30927e-07
63              0              0    3.30564e-07
64              0              0    3.34099e-07
65              0              0    3.34917e-07
66              0              0    3.32576e-07
67              0              0    3.28892e-07
68              0              0    3.32767e-07
69              0              0    3.28392e-07
70              0              0    3.31544e-07
71              0              0    3.33054e-07
72              0              0    3.33621e-07
73              0              0    3.35269e-07
74              0              0    3.33817e-07
75              0              0    3.35655e-07
76              0              0    3.35619e-07
77              0              0     3.3507e-07
78              0              0    3.36326e-07
79              0              0    3.34262e-07
80              0              0    3.33866e-07
81              0              0    3.34317e-07
82              0              0    3.32838e-07
83              0              0    3.36479e-07
84              0              0    3.31355e-07
85              0              0    3.34353e-07
86              0              0    3.34642e-07
87              0              0     3.3462e-07
88              0              0    3.37403e-07
89              0              0    3.39716e-07
90              0              0    3.41544e-07
91              0              0    3.40376e-07
92              0              0    3.41177e-07
93              0              0    3.39646e-07
94              0              0    3.39345e-07
95              0              0    3.39359e-07
96              0              0    3.39319e-07
97              0              0    3.44935e-07
98              0              0    3.39888e-07
99              0              0    3.42085e-07
100              0              0    3.42633e-07
101              0              0    3.43316e-07
102              0              0    3.42952e-07
103              0              0     3.4267e-07
104              0              0    3.43688e-07
105              0              0    3.46959e-07
106              0              0     3.4188e-07
107              0              0    3.45921e-07
108              0              0    3.48145e-07
109              0              0    3.43657e-07
110              0              0    3.46189e-07
111              0              0    3.46303e-07
112              0              0    3.51438e-07
113              0              0      3.481e-07
114              0              0    3.47459e-07
115              0              0     3.4578e-07
116              0              0    3.51707e-07
117              0              0    3.48253e-07
118              0              0    3.49731e-07
119              0              0    3.49873e-07
120              0              0    3.50791e-07
121              0              0    3.51038e-07
122              0              0    3.47706e-07
123              0              0    3.45326e-07
124              0              0    3.52564e-07
125              0              0     3.4956e-07
126              0              0    3.48819e-07
127              0              0     3.5681e-07
128              0              0    3.53316e-07
129              0              0    3.53799e-07
130              0              0    3.54425e-07
131              0              0    3.55138e-07
132              0              0    3.55173e-07
133              0              0    3.57497e-07
134              0              0    3.55917e-07
135              0              0    3.61926e-07
136              0              0      3.634e-07
137              0              0    3.60851e-07
138              0              0    3.60922e-07
139              0              0    3.61757e-07
140              0              0    3.62077e-07
141              0              0     3.6194e-07
142              0              0    3.66742e-07
143              0              0    3.66235e-07
144              0              0     3.6497e-07
145              0              0    3.65683e-07
146              0              0    3.73183e-07
147              0              0    3.73062e-07
148              0              0    3.71349e-07
149              0              0    3.68593e-07
150              0              0    3.72662e-07
151              0              0    3.72113e-07
152              0              0    3.73335e-07
153              0              0    3.70919e-07
154              0              0     3.7485e-07
155              0              0    3.75419e-07
