x_index        y_index        z_index      Dose (Gy)
0              0              0    4.53997e-05
1              0              0    4.64001e-05
2              0              0    4.66091e-05
3              0              0    4.68514e-05
4              0              0    4.70686e-05
5              0              0    4.72918e-05
6              0              0    4.75338e-05
7              0              0    4.77588e-05
8              0              0    4.79632e-05
9              0              0    4.82687e-05
10              0              0    4.84578e-05
11              0              0    4.87232e-05
12              0              0    4.89948e-05
13              0              0     4.9216e-05
14              0              0    4.94635e-05
15              0              0    4.97625e-05
16              0              0    5.00837e-05
17              0              0    5.03662e-05
18              0              0    5.06195e-05
19              0              0    5.09381e-05
20              0              0    5.12721e-05
21              0              0    5.16277e-05
22              0              0    5.19747e-05
23              0              0    5.23554e-05
24              0              0    5.26938e-05
25              0              0    5.31163e-05
26              0              0    5.34614e-05
27              0              0    5.38688e-05
28              0              0    5.42806e-05
29              0              0    5.47549e-05
30              0              0    5.51808e-05
31              0              0    5.56999e-05
32              0              0    5.61762e-05
33              0              0    5.67165e-05
34              0              0    5.72307e-05
35              0              0    5.78742e-05
36              0              0    5.85333e-05
37              0              0    5.91938e-05
38              0              0    5.99356e-05
39              0              0    6.06883e-05
40              0              0    6.15141e-05
41              0              0    6.23942e-05
42              0              0    6.32618e-05
43              0              0    6.43071e-05
44              0              0    6.53882e-05
45              0              0    6.64775e-05
46              0              0    6.77661e-05
47              0              0    6.90665e-05
48              0              0    7.05388e-05
49              0              0    7.20948e-05
50              0              0    7.38666e-05
51              0              0    7.56871e-05
52              0              0    7.78649e-05
53              0              0    8.01789e-05
54              0              0    8.28491e-05
55              0              0    8.60615e-05
56              0              0    8.97942e-05
57              0              0    9.40722e-05
58              0              0    9.91572e-05
59              0              0    0.000105413
60              0              0    0.000113112
61              0              0    0.000123047
62              0              0    0.000136284
63              0              0    0.000157359
64              0              0    0.000207299
65              0              0    0.000248165
66              0              0    1.83979e-05
67              0              0    1.65939e-05
68              0              0    1.54256e-05
69              0              0    1.43558e-05
70              0              0    1.31452e-05
71              0              0    1.20165e-05
72              0              0    1.09844e-05
73              0              0    9.98931e-06
74              0              0    9.21861e-06
75              0              0    8.57728e-06
76              0              0    7.91198e-06
77              0              0    7.25767e-06
78              0              0    6.67787e-06
79              0              0    6.10733e-06
80              0              0    5.64131e-06
81              0              0    5.37051e-06
82              0              0    5.02183e-06
83              0              0    4.79349e-06
84              0              0    4.50892e-06
85              0              0    4.36576e-06
86              0              0    4.10579e-06
87              0              0    3.94151e-06
88              0              0    3.73521e-06
89              0              0    3.55202e-06
90              0              0    3.46048e-06
91              0              0    3.29437e-06
92              0              0    3.15526e-06
93              0              0    3.05637e-06
94              0              0    2.96982e-06
95              0              0    2.89741e-06
96              0              0    2.78763e-06
97              0              0    2.68343e-06
98              0              0    2.61192e-06
99              0              0    2.55161e-06
100              0              0    2.52387e-06
101              0              0    2.41765e-06
102              0              0    2.36334e-06
103              0              0    2.30786e-06
104              0              0    2.26103e-06
105              0              0    2.21191e-06
106              0              0    2.15525e-06
107              0              0    2.12147e-06
108              0              0     2.0744e-06
109              0              0    2.03477e-06
110              0              0    2.00128e-06
111              0              0    1.97975e-06
112              0              0    1.93757e-06
113              0              0    1.91295e-06
114              0              0    1.88585e-06
115              0              0    1.84723e-06
116              0              0    1.81012e-06
117              0              0    1.78626e-06
118              0              0    1.76048e-06
119              0              0    1.73311e-06
120              0              0    1.70274e-06
121              0              0    1.66767e-06
122              0              0    1.63321e-06
123              0              0    1.59603e-06
124              0              0    1.58169e-06
125              0              0    1.57273e-06
126              0              0    1.54391e-06
127              0              0    1.53756e-06
128              0              0    1.51337e-06
129              0              0    1.49907e-06
130              0              0    1.47059e-06
131              0              0     1.4698e-06
132              0              0    1.44934e-06
133              0              0    1.43436e-06
134              0              0    1.41115e-06
135              0              0    1.38591e-06
136              0              0    1.37232e-06
137              0              0    1.36472e-06
138              0              0    1.34048e-06
139              0              0    1.33389e-06
140              0              0     1.3137e-06
141              0              0    1.27937e-06
142              0              0    1.26819e-06
143              0              0    1.25251e-06
144              0              0    1.23708e-06
145              0              0     1.2261e-06
146              0              0    1.20733e-06
147              0              0    1.18615e-06
148              0              0    1.17088e-06
149              0              0    1.15997e-06
150              0              0    1.13536e-06
151              0              0    1.13333e-06
152              0              0    1.10536e-06
153              0              0    1.10096e-06
154              0              0    1.08763e-06
155              0              0     1.0764e-06
156              0              0    1.04674e-06
157              0              0    1.03672e-06
158              0              0    1.02245e-06
159              0              0    1.01818e-06
160              0              0     1.0107e-06
161              0              0    1.00322e-06
162              0              0    9.77205e-07
163              0              0    9.61972e-07
164              0              0    9.53547e-07
165              0              0    9.49707e-07
166              0              0    9.35299e-07
167              0              0    9.17244e-07
168              0              0    8.99453e-07
169              0              0    8.89692e-07
170              0              0    8.84011e-07
171              0              0    8.77597e-07
172              0              0    8.63584e-07
173              0              0    8.49986e-07
174              0              0    8.44845e-07
175              0              0    8.26201e-07
176              0              0    8.05075e-07
177              0              0    7.94259e-07
178              0              0    7.93225e-07
179              0              0    7.81697e-07
180              0              0    7.70369e-07
181              0              0    7.54116e-07
182              0              0    7.51383e-07
183              0              0    7.38005e-07
184              0              0    7.28146e-07
185              0              0    7.19191e-07
186              0              0    6.98164e-07
187              0              0    6.84627e-07
188              0              0    6.69546e-07
189              0              0    6.59516e-07
190              0              0    6.56685e-07
191              0              0    6.45045e-07
192              0              0    6.37492e-07
193              0              0    6.23977e-07
194              0              0    6.14456e-07
195              0              0    6.03464e-07
196              0              0    5.82143e-07
197              0              0    5.77419e-07
198              0              0    5.75003e-07
199              0              0    5.69491e-07
200              0              0    5.59961e-07
201              0              0    5.52067e-07
202              0              0    5.49365e-07
203              0              0    5.37882e-07
204              0              0    5.31279e-07
205              0              0    5.20738e-07
206              0              0    5.05295e-07
207              0              0    5.03761e-07
208              0              0     4.9709e-07
209              0              0    4.85798e-07
210              0              0     4.8095e-07
211              0              0    4.71796e-07
212              0              0    4.70389e-07
213              0              0    4.57835e-07
214              0              0    4.49393e-07
215              0              0    4.41126e-07
216              0              0    4.31046e-07
217              0              0     4.1573e-07
218              0              0    4.12548e-07
219              0              0    4.01676e-07
220              0              0    3.91986e-07
221              0              0    3.91168e-07
222              0              0    3.87115e-07
223              0              0    3.74893e-07
224              0              0    3.61762e-07
225              0              0    3.49505e-07
226              0              0    3.45855e-07
227              0              0    3.47164e-07
228              0              0    3.42421e-07
229              0              0    3.36538e-07
230              0              0    3.32676e-07
231              0              0    3.19081e-07
232              0              0    3.22805e-07
233              0              0     3.1307e-07
234              0              0    3.07537e-07
235              0              0    3.06909e-07
236              0              0    3.00059e-07
237              0              0    2.91665e-07
238              0              0    2.83002e-07
239              0              0    2.78156e-07
240              0              0    2.72839e-07
241              0              0    2.78334e-07
242              0              0    2.75005e-07
243              0              0     2.5953e-07
244              0              0    2.63118e-07
245              0              0     2.6098e-07
246              0              0    2.46525e-07
247              0              0     2.4257e-07
248              0              0    2.37902e-07
249              0              0     2.3526e-07
250              0              0    2.33657e-07
251              0              0    2.30906e-07
252              0              0    2.32497e-07
253              0              0    2.16993e-07
254              0              0    2.05611e-07
255              0              0     2.0122e-07
256              0              0    2.01959e-07
257              0              0    2.00148e-07
258              0              0    1.95701e-07
259              0              0    1.90356e-07
260              0              0    1.87733e-07
261              0              0    1.83429e-07
262              0              0    1.81287e-07
263              0              0    1.76059e-07
264              0              0    1.72648e-07
265              0              0    1.71809e-07
266              0              0    1.67202e-07
267              0              0    1.63445e-07
268              0              0    1.59341e-07
269              0              0    1.61675e-07
270              0              0    1.57112e-07
271              0              0    1.52667e-07
272              0              0    1.46979e-07
273              0              0    1.46723e-07
274              0              0    1.40605e-07
275              0              0    1.39571e-07
276              0              0    1.36103e-07
277              0              0    1.35548e-07
278              0              0    1.30428e-07
279              0              0    1.31056e-07
280              0              0    1.27818e-07
281              0              0    1.25778e-07
282              0              0    1.24068e-07
283              0              0    1.24374e-07
284              0              0    1.20634e-07
285              0              0    1.15599e-07
286              0              0    1.12794e-07
287              0              0    1.14972e-07
288              0              0     1.1244e-07
289              0              0    1.08584e-07
290              0              0    1.03131e-07
291              0              0    9.99776e-08
292              0              0    1.00506e-07
293              0              0     9.2558e-08
294              0              0    9.12317e-08
295              0              0    9.22193e-08
296              0              0    8.86265e-08
297              0              0    8.69444e-08
298              0              0    8.70774e-08
299              0              0    8.47649e-08
300              0              0    8.47216e-08
301              0              0    8.25274e-08
302              0              0    7.70335e-08
303              0              0    8.02647e-08
304              0              0    7.57957e-08
305              0              0    7.22998e-08
306              0              0    7.32373e-08
307              0              0    7.25372e-08
308              0              0    6.94527e-08
309              0              0     7.2984e-08
310              0              0    7.23271e-08
311              0              0     6.9161e-08
312              0              0     7.0429e-08
313              0              0     6.5102e-08
314              0              0    6.36994e-08
315              0              0     6.3575e-08
316              0              0    5.91854e-08
317              0              0     6.0808e-08
318              0              0    5.97307e-08
319              0              0     5.8982e-08
320              0              0    6.00277e-08
321              0              0    5.95746e-08
322              0              0    5.68305e-08
323              0              0    5.58388e-08
324              0              0    5.77391e-08
325              0              0    5.36404e-08
326              0              0    5.18251e-08
327              0              0    5.01791e-08
328              0              0    4.98176e-08
329              0              0    5.05951e-08
330              0              0    4.64497e-08
331              0              0    4.70941e-08
332              0              0     4.7836e-08
333              0              0    4.56959e-08
334              0              0    4.52632e-08
335              0              0     4.5522e-08
336              0              0    4.35556e-08
337              0              0       4.26e-08
338              0              0    4.01066e-08
339              0              0    4.13147e-08
340              0              0    3.83845e-08
341              0              0    3.89354e-08
342              0              0    4.01374e-08
343              0              0    3.90842e-08
344              0              0    3.64767e-08
345              0              0    3.71973e-08
346              0              0    3.62979e-08
347              0              0    3.47568e-08
348              0              0    3.85156e-08
349              0              0    3.62612e-08
350              0              0     3.4603e-08
351              0              0    3.48694e-08
352              0              0    3.44976e-08
353              0              0    3.43381e-08
354              0              0    3.62392e-08
355              0              0    3.31954e-08
356              0              0    3.30848e-08
357              0              0    3.30085e-08
358              0              0    3.18443e-08
359              0              0    2.99086e-08
360              0              0    2.94837e-08
361              0              0    3.04814e-08
362              0              0    2.86886e-08
363              0              0    2.79014e-08
364              0              0     2.7465e-08
365              0              0    2.56412e-08
366              0              0    2.85432e-08
367              0              0    2.56027e-08
368              0              0    2.49867e-08
369              0              0    2.58248e-08
370              0              0     2.5745e-08
371              0              0    2.66166e-08
372              0              0    2.59582e-08
373              0              0     2.5748e-08
374              0              0    2.32162e-08
375              0              0    2.25823e-08
376              0              0    2.44408e-08
377              0              0    2.20088e-08
378              0              0    2.25602e-08
379              0              0     2.2441e-08
380              0              0    2.39354e-08
381              0              0    2.15889e-08
382              0              0    2.21555e-08
383              0              0    2.29393e-08
384              0              0    2.36281e-08
385              0              0     2.3091e-08
386              0              0    2.24648e-08
387              0              0    2.23612e-08
388              0              0    2.22806e-08
389              0              0    2.24087e-08
390              0              0    2.21233e-08
391              0              0    2.11177e-08
392              0              0    1.89794e-08
393              0              0    1.81914e-08
394              0              0    1.88958e-08
395              0              0     1.8019e-08
396              0              0    1.86324e-08
397              0              0    1.86183e-08
398              0              0    1.79851e-08
399              0              0    1.84319e-08
