x_index        y_index        z_index      Dose (Gy)
0              0              0    2.14669e-09
0              1              0    4.43644e-09
0              2              0    3.67869e-09
0              3              0    8.42498e-09
0              4              0     1.7122e-08
0              5              0    1.02106e-08
0              6              0     2.0421e-08
0              7              0      4.241e-09
0              8              0    7.55478e-09
0              9              0    1.65637e-09
0             10              0    2.40835e-09
0             11              0      1.125e-09
0             12              0    2.03492e-09
0             13              0    1.05426e-09
0             14              0    1.85203e-08
0             15              0    3.63031e-09
0             16              0    1.13528e-08
0             17              0    1.13312e-08
0             18              0    2.02714e-08
0             19              0    1.09233e-08
0             20              0    3.06314e-08
0             21              0    2.16562e-08
0             22              0     9.6412e-09
0             23              0    3.21787e-08
0             24              0    1.56665e-08
0             25              0    8.24282e-09
0             26              0    1.01072e-08
0             27              0    1.35125e-08
0             28              0     1.7207e-08
0             29              0    3.21645e-08
0             30              0    3.49071e-08
0             31              0    3.36549e-08
0             32              0    4.19267e-08
0             33              0    2.04026e-08
0             34              0    1.86188e-08
0             35              0     3.1941e-08
0             36              0    3.07023e-08
0             37              0    5.27335e-08
0             38              0    3.82895e-08
0             39              0    6.89162e-08
0             40              0     4.7751e-08
0             41              0    7.55889e-08
0             42              0    1.42242e-07
0             43              0    1.39809e-07
0             44              0    1.77514e-07
0             45              0    1.65841e-07
0             46              0    3.21701e-07
0             47              0    3.84886e-07
0             48              0    8.99642e-07
0             49              0     0.00214985
0             50              0     0.00238695
0             51              0    7.33077e-07
0             52              0    3.48644e-07
0             53              0    2.61012e-07
0             54              0    2.03043e-07
0             55              0    1.05056e-07
0             56              0    1.11219e-07
0             57              0    5.28226e-08
0             58              0    6.27114e-08
0             59              0    8.16621e-08
0             60              0    5.23718e-08
0             61              0    7.31472e-08
0             62              0    7.61166e-08
0             63              0    4.79409e-08
0             64              0    3.34179e-08
0             65              0    2.33281e-08
0             66              0    1.38598e-08
0             67              0    1.65366e-08
0             68              0    1.94856e-08
0             69              0    2.30195e-08
0             70              0    1.16248e-08
0             71              0    1.44861e-08
0             72              0    1.50524e-08
0             73              0    1.64888e-08
0             74              0    1.10594e-08
0             75              0    1.40961e-08
0             76              0    2.57994e-08
0             77              0    3.60115e-08
0             78              0    3.04807e-08
0             79              0     2.4115e-08
0             80              0    3.25987e-08
0             81              0    2.88198e-08
0             82              0     2.6585e-08
0             83              0     8.7993e-09
0             84              0    1.92066e-09
0             85              0    2.87435e-09
0             86              0    2.55018e-09
0             87              0    1.57704e-08
0             88              0    2.64545e-09
0             89              0    2.08117e-09
0             90              0    8.49053e-10
0             91              0    3.86057e-09
0             92              0    2.21187e-09
0             93              0    2.96802e-09
0             94              0    1.08105e-09
0             95              0    4.08494e-09
0             96              0    3.05859e-09
0             97              0    5.32216e-10
0             98              0    1.97108e-09
0             99              0    7.99167e-09
1              0              0      1.864e-09
1              1              0    1.76736e-09
1              2              0    2.40311e-09
1              3              0    2.80253e-09
1              4              0    6.76864e-09
1              5              0    3.32685e-09
1              6              0    4.41644e-09
1              7              0    1.38631e-08
1              8              0    9.89876e-09
1              9              0    9.17751e-09
1             10              0    1.36064e-08
1             11              0     9.0333e-09
1             12              0    7.32346e-09
1             13              0    8.39548e-09
1             14              0    7.20298e-09
1             15              0    1.51209e-08
1             16              0    1.34463e-08
1             17              0    1.33919e-08
1             18              0    1.63266e-08
1             19              0    1.63294e-08
1             20              0    1.72056e-08
1             21              0    2.25818e-08
1             22              0     1.9363e-08
1             23              0    1.27935e-08
1             24              0    2.31013e-08
1             25              0    2.07004e-08
1             26              0    3.00289e-08
1             27              0    3.05226e-08
1             28              0    5.25998e-08
1             29              0    3.91614e-08
1             30              0    4.75662e-08
1             31              0    3.61086e-08
1             32              0     4.3779e-08
1             33              0    6.54317e-08
1             34              0    4.56336e-08
1             35              0    4.36264e-08
1             36              0    4.54878e-08
1             37              0    7.13153e-08
1             38              0    6.90863e-08
1             39              0    1.11583e-07
1             40              0    1.36153e-07
1             41              0    1.40551e-07
1             42              0     1.0669e-07
1             43              0    1.58899e-07
1             44              0    2.48173e-07
1             45              0    2.87935e-07
1             46              0    3.41621e-07
1             47              0     6.8263e-07
1             48              0    1.91935e-06
1             49              0       0.002322
1             50              0     0.00230706
1             51              0    1.95027e-06
1             52              0    6.73117e-07
1             53              0    3.34896e-07
1             54              0    2.09555e-07
1             55              0    1.67157e-07
1             56              0    1.07628e-07
1             57              0    9.85709e-08
1             58              0    4.56653e-08
1             59              0    7.17115e-08
1             60              0    6.27839e-08
1             61              0    2.11877e-08
1             62              0    5.29408e-08
1             63              0    3.76111e-08
1             64              0    6.19473e-08
1             65              0    4.26691e-08
1             66              0    3.26384e-08
1             67              0    4.87923e-08
1             68              0    2.93397e-08
1             69              0    2.84188e-08
1             70              0    3.32331e-08
1             71              0    1.75872e-08
1             72              0    1.00589e-08
1             73              0    8.72804e-09
1             74              0    1.57117e-08
1             75              0    1.82546e-08
1             76              0    1.03239e-08
1             77              0    9.17927e-09
1             78              0    7.93868e-09
1             79              0    1.21734e-08
1             80              0    1.68323e-08
1             81              0    8.96101e-09
1             82              0    1.82964e-09
1             83              0    2.71121e-09
1             84              0    1.66348e-09
1             85              0    1.27387e-08
1             86              0    1.34704e-09
