x_index        y_index        z_index      Dose (Gy)
0              0              0    1.11771e-07
1              0              0    1.14369e-07
2              0              0    1.16453e-07
3              0              0    1.20976e-07
4              0              0    1.20434e-07
5              0              0      1.218e-07
6              0              0    1.24256e-07
7              0              0    1.28781e-07
8              0              0    1.33171e-07
9              0              0    1.34386e-07
10              0              0    1.33969e-07
11              0              0    1.37526e-07
12              0              0    1.46965e-07
13              0              0    1.50474e-07
14              0              0    1.52757e-07
15              0              0    1.58774e-07
16              0              0    1.61303e-07
17              0              0     1.6414e-07
18              0              0    1.72512e-07
19              0              0    1.79743e-07
20              0              0    1.89312e-07
21              0              0    1.96008e-07
22              0              0     2.0576e-07
23              0              0    2.24903e-07
24              0              0    2.46183e-07
25              0              0    2.77741e-07
26              0              0    3.16798e-07
27              0              0     3.9925e-07
28              0              0    5.10987e-07
29              0              0    3.34593e-07
30              0              0    5.83525e-08
31              0              0    6.89078e-10
32              0              0              0
33              0              0    9.37552e-12
34              0              0    1.20787e-11
35              0              0              0
36              0              0              0
37              0              0              0
38              0              0              0
39              0              0              0
