x_index        y_index        z_index      Dose (Gy)
0              0              0    2.00182e-08
1              0              0    2.11641e-08
2              0              0    2.00769e-08
3              0              0    2.04468e-08
4              0              0        2.1e-08
5              0              0    2.21537e-08
6              0              0    2.20827e-08
7              0              0    2.17686e-08
8              0              0    2.21716e-08
9              0              0     2.1583e-08
10              0              0    2.26126e-08
11              0              0    2.29173e-08
12              0              0     2.3207e-08
13              0              0    2.37016e-08
14              0              0    2.26846e-08
15              0              0    2.35336e-08
16              0              0     2.1913e-08
17              0              0    2.37069e-08
18              0              0    2.43583e-08
19              0              0    2.21324e-08
20              0              0    2.25211e-08
21              0              0     2.2672e-08
22              0              0    2.65926e-08
23              0              0    2.34344e-08
24              0              0    2.26313e-08
25              0              0    2.13412e-08
26              0              0    2.15156e-08
27              0              0     2.3848e-08
28              0              0    2.17009e-08
29              0              0    2.25075e-08
30              0              0    2.23352e-08
31              0              0    2.34331e-08
32              0              0    2.35994e-08
33              0              0    2.33181e-08
34              0              0    2.35717e-08
35              0              0    2.47659e-08
36              0              0    2.37022e-08
37              0              0    2.51316e-08
38              0              0    2.48242e-08
39              0              0    2.31532e-08
40              0              0    2.36495e-08
41              0              0    2.31888e-08
42              0              0    2.21623e-08
43              0              0     2.2072e-08
44              0              0    2.44246e-08
45              0              0    2.25773e-08
46              0              0    2.18754e-08
47              0              0    2.14878e-08
48              0              0    2.15664e-08
49              0              0    2.17213e-08
50              0              0    2.23841e-08
51              0              0    2.59155e-08
52              0              0    2.25788e-08
53              0              0    2.17722e-08
54              0              0    2.29973e-08
55              0              0     2.2605e-08
56              0              0    2.23586e-08
57              0              0    2.38044e-08
58              0              0    2.30373e-08
59              0              0    2.33192e-08
60              0              0    2.31186e-08
61              0              0    2.33099e-08
62              0              0    2.39146e-08
63              0              0    2.45656e-08
64              0              0    2.41789e-08
65              0              0    2.40799e-08
66              0              0    2.43103e-08
67              0              0    2.29923e-08
68              0              0     2.2908e-08
69              0              0    2.29296e-08
70              0              0    2.30033e-08
71              0              0    2.40626e-08
72              0              0    2.30982e-08
73              0              0    2.26791e-08
74              0              0    2.29424e-08
75              0              0    2.53953e-08
76              0              0    2.63159e-08
77              0              0    2.52012e-08
78              0              0    2.34965e-08
79              0              0    2.58652e-08
80              0              0    2.47313e-08
81              0              0    2.40472e-08
82              0              0    2.51558e-08
83              0              0    2.57471e-08
84              0              0    2.45285e-08
85              0              0    2.43176e-08
86              0              0    2.42533e-08
87              0              0    2.43723e-08
88              0              0    2.45087e-08
89              0              0    2.38094e-08
90              0              0    2.39101e-08
91              0              0    2.39849e-08
92              0              0    2.35574e-08
93              0              0    2.39269e-08
94              0              0    2.28497e-08
95              0              0     2.3101e-08
96              0              0    2.40161e-08
97              0              0    2.46409e-08
98              0              0    2.48387e-08
99              0              0    2.37901e-08
100              0              0    2.43454e-08
101              0              0    2.36481e-08
102              0              0    2.37687e-08
103              0              0    2.39853e-08
104              0              0    2.70026e-08
105              0              0    2.44305e-08
106              0              0    2.57914e-08
107              0              0    2.38039e-08
108              0              0    2.48372e-08
109              0              0    2.41646e-08
110              0              0    2.44228e-08
111              0              0    2.44775e-08
112              0              0    2.46642e-08
113              0              0    2.40139e-08
114              0              0    2.41991e-08
115              0              0     2.4543e-08
116              0              0    2.53383e-08
117              0              0    2.51439e-08
118              0              0    2.39669e-08
119              0              0    2.46003e-08
120              0              0    2.42382e-08
121              0              0    2.40836e-08
122              0              0    2.42351e-08
123              0              0    2.47107e-08
124              0              0    2.62945e-08
125              0              0    2.48607e-08
126              0              0     2.4752e-08
127              0              0    2.48676e-08
128              0              0    2.53813e-08
129              0              0    2.75569e-08
130              0              0    2.62621e-08
131              0              0    2.52841e-08
132              0              0    2.50196e-08
133              0              0    2.57469e-08
134              0              0    2.73141e-08
135              0              0    2.71885e-08
136              0              0    2.62038e-08
137              0              0     2.5838e-08
138              0              0    2.72639e-08
139              0              0    2.53628e-08
140              0              0    2.52649e-08
141              0              0     2.5677e-08
142              0              0     2.6141e-08
143              0              0    2.67299e-08
144              0              0    2.68956e-08
145              0              0     2.8191e-08
146              0              0    2.66809e-08
147              0              0    2.75377e-08
148              0              0    2.68036e-08
149              0              0    2.80363e-08
150              0              0    2.65037e-08
151              0              0    3.06364e-08
152              0              0    3.04572e-08
153              0              0    2.90408e-08
154              0              0    2.71543e-08
155              0              0    2.92039e-08
156              0              0    2.72527e-08
157              0              0     2.7208e-08
158              0              0    2.67409e-08
159              0              0    2.68816e-08
160              0              0    2.66916e-08
161              0              0    2.86455e-08
162              0              0    2.71661e-08
163              0              0    2.65461e-08
164              0              0    2.67878e-08
165              0              0    3.02237e-08
166              0              0    2.85639e-08
167              0              0    2.73564e-08
168              0              0    2.82275e-08
169              0              0    3.05358e-08
170              0              0    2.94244e-08
171              0              0    2.99228e-08
172              0              0    2.81956e-08
173              0              0    2.74124e-08
174              0              0    2.77544e-08
175              0              0    2.94128e-08
176              0              0    2.88261e-08
177              0              0    2.92063e-08
178              0              0    2.95689e-08
179              0              0    2.93368e-08
180              0              0    2.92242e-08
181              0              0    2.88637e-08
182              0              0    2.94372e-08
183              0              0    3.17977e-08
184              0              0    3.38554e-08
185              0              0    3.02681e-08
186              0              0    3.11084e-08
187              0              0    2.98277e-08
188              0              0      2.944e-08
189              0              0    3.11197e-08
190              0              0    3.10655e-08
191              0              0    3.15625e-08
192              0              0    3.10537e-08
193              0              0    3.22955e-08
194              0              0    3.17637e-08
195              0              0    3.23391e-08
196              0              0    3.34461e-08
197              0              0    3.23658e-08
198              0              0    3.18546e-08
199              0              0    3.32241e-08
200              0              0    3.28723e-08
201              0              0    3.52277e-08
202              0              0    3.65988e-08
203              0              0     3.4665e-08
204              0              0    3.29667e-08
205              0              0    3.24856e-08
206              0              0    3.45527e-08
207              0              0    3.41314e-08
208              0              0    3.40985e-08
209              0              0    3.43864e-08
210              0              0    3.38553e-08
211              0              0    3.44699e-08
212              0              0    3.50128e-08
213              0              0    3.52892e-08
214              0              0    3.47143e-08
215              0              0    3.54729e-08
216              0              0    3.55173e-08
217              0              0    3.77818e-08
218              0              0    3.72151e-08
219              0              0    3.66172e-08
220              0              0    3.63096e-08
221              0              0    3.60782e-08
222              0              0    3.71285e-08
223              0              0    3.79438e-08
224              0              0    3.73579e-08
225              0              0    3.91825e-08
226              0              0    3.83756e-08
227              0              0    3.89467e-08
228              0              0    3.86534e-08
229              0              0    3.88344e-08
230              0              0    4.09685e-08
231              0              0     4.1482e-08
232              0              0    3.96327e-08
233              0              0    4.07234e-08
234              0              0    4.31854e-08
235              0              0    4.22651e-08
236              0              0    4.51898e-08
237              0              0     4.3295e-08
238              0              0    4.42567e-08
239              0              0    4.48637e-08
240              0              0    4.64335e-08
241              0              0    4.61912e-08
242              0              0    4.88908e-08
243              0              0    4.87356e-08
244              0              0    4.94188e-08
245              0              0    5.18368e-08
246              0              0    5.29096e-08
247              0              0    5.44513e-08
248              0              0    5.55822e-08
249              0              0    5.90212e-08
250              0              0    6.25926e-08
251              0              0    6.44177e-08
252              0              0    6.91408e-08
253              0              0    7.11911e-08
254              0              0    7.81402e-08
255              0              0    8.36556e-08
256              0              0     9.0336e-08
257              0              0    9.31515e-08
258              0              0    9.51236e-08
259              0              0    8.65041e-08
260              0              0    7.59268e-08
261              0              0    6.25521e-08
262              0              0    4.38576e-08
263              0              0    3.37692e-08
264              0              0    1.69557e-08
265              0              0    1.04375e-08
266              0              0    3.08272e-09
267              0              0    2.08682e-09
268              0              0     9.0947e-10
269              0              0    4.85016e-10
270              0              0    4.01409e-13
271              0              0              0
272              0              0    5.45889e-13
273              0              0              0
274              0              0              0
275              0              0    5.39386e-10
276              0              0    1.37981e-11
277              0              0    4.36115e-11
278              0              0    8.31076e-12
279              0              0              0
280              0              0              0
281              0              0              0
282              0              0              0
283              0              0              0
284              0              0              0
285              0              0    5.14198e-11
286              0              0              0
287              0              0              0
288              0              0              0
289              0              0              0
290              0              0              0
291              0              0    3.90096e-11
292              0              0              0
293              0              0              0
294              0              0     1.9919e-12
295              0              0              0
296              0              0              0
297              0              0              0
298              0              0              0
299              0              0              0
