x_index        y_index        z_index      Dose (Gy)
0              0              0    2.04208e-05
1              0              0    2.09718e-05
2              0              0    2.10934e-05
3              0              0    2.11661e-05
4              0              0    2.13429e-05
5              0              0    2.14495e-05
6              0              0    2.15351e-05
7              0              0    2.16353e-05
8              0              0    2.17241e-05
9              0              0    2.18134e-05
10              0              0    2.19175e-05
11              0              0    2.19355e-05
12              0              0    2.20152e-05
13              0              0    2.20661e-05
14              0              0    2.21504e-05
15              0              0    2.21659e-05
16              0              0    2.22677e-05
17              0              0    2.23184e-05
18              0              0    2.23562e-05
19              0              0    2.24019e-05
20              0              0    2.24171e-05
21              0              0    2.25377e-05
22              0              0    2.26335e-05
23              0              0    2.26651e-05
24              0              0    2.26664e-05
25              0              0    2.26894e-05
26              0              0    2.27779e-05
27              0              0    2.28786e-05
28              0              0    2.28779e-05
29              0              0     2.2906e-05
30              0              0    2.29913e-05
31              0              0     2.3007e-05
32              0              0     2.3033e-05
33              0              0    2.30515e-05
34              0              0    2.30517e-05
35              0              0    2.30675e-05
36              0              0    2.31491e-05
37              0              0    2.31772e-05
38              0              0    2.32011e-05
39              0              0    2.32635e-05
40              0              0    2.33253e-05
41              0              0    2.33414e-05
42              0              0    2.33853e-05
43              0              0    2.33814e-05
44              0              0    2.34313e-05
45              0              0    2.34685e-05
46              0              0    2.34915e-05
47              0              0    2.35383e-05
48              0              0    2.34974e-05
49              0              0    2.36038e-05
50              0              0    2.35983e-05
51              0              0    2.35941e-05
52              0              0     2.3609e-05
53              0              0    2.36534e-05
54              0              0     2.3677e-05
55              0              0    2.37273e-05
56              0              0    2.37515e-05
57              0              0     2.3746e-05
58              0              0    2.37799e-05
59              0              0    2.37884e-05
60              0              0    2.37603e-05
61              0              0     2.3839e-05
62              0              0    2.38962e-05
63              0              0    2.39244e-05
64              0              0     2.3895e-05
65              0              0    2.39122e-05
66              0              0    2.39816e-05
67              0              0    2.39877e-05
68              0              0    2.40174e-05
69              0              0    2.39853e-05
70              0              0    2.40395e-05
71              0              0    2.40821e-05
72              0              0    2.40967e-05
73              0              0    2.41668e-05
74              0              0    2.42101e-05
75              0              0    2.42689e-05
76              0              0    2.42891e-05
77              0              0    2.43305e-05
78              0              0    2.42998e-05
79              0              0     2.4311e-05
80              0              0    2.43037e-05
81              0              0    2.43388e-05
82              0              0    2.43931e-05
83              0              0    2.44318e-05
84              0              0      2.444e-05
85              0              0    2.45345e-05
86              0              0    2.45347e-05
87              0              0    2.45889e-05
88              0              0    2.45755e-05
89              0              0    2.45944e-05
90              0              0    2.46056e-05
91              0              0    2.45835e-05
92              0              0    2.46432e-05
93              0              0    2.46735e-05
94              0              0    2.47368e-05
95              0              0    2.47384e-05
96              0              0    2.47537e-05
97              0              0     2.4792e-05
98              0              0    2.48418e-05
99              0              0    2.48467e-05
100              0              0    2.48295e-05
101              0              0    2.48975e-05
102              0              0     2.4953e-05
103              0              0     2.4996e-05
104              0              0    2.50072e-05
105              0              0    2.50709e-05
106              0              0    2.51093e-05
107              0              0     2.5133e-05
108              0              0     2.5205e-05
109              0              0    2.52201e-05
110              0              0     2.5279e-05
111              0              0    2.52608e-05
112              0              0    2.52882e-05
113              0              0    2.53343e-05
114              0              0     2.5375e-05
115              0              0    2.54097e-05
116              0              0    2.54062e-05
117              0              0     2.5513e-05
118              0              0    2.55176e-05
119              0              0    2.55363e-05
120              0              0    2.55853e-05
121              0              0    2.55857e-05
122              0              0    2.56471e-05
123              0              0    2.56313e-05
124              0              0    2.56986e-05
125              0              0    2.57559e-05
126              0              0    2.57802e-05
127              0              0    2.58573e-05
128              0              0     2.5899e-05
129              0              0     2.5911e-05
130              0              0    2.59805e-05
131              0              0    2.60183e-05
132              0              0    2.60257e-05
133              0              0    2.60803e-05
134              0              0     2.6134e-05
135              0              0    2.61967e-05
136              0              0    2.62272e-05
137              0              0    2.62666e-05
138              0              0    2.62958e-05
139              0              0    2.63769e-05
140              0              0    2.63706e-05
141              0              0    2.64343e-05
142              0              0    2.64637e-05
143              0              0    2.65355e-05
144              0              0    2.65561e-05
145              0              0    2.65634e-05
146              0              0    2.66518e-05
147              0              0    2.67642e-05
148              0              0    2.68087e-05
149              0              0    2.68316e-05
150              0              0    2.69122e-05
151              0              0    2.69885e-05
152              0              0    2.70041e-05
153              0              0    2.71273e-05
154              0              0    2.71545e-05
155              0              0     2.7189e-05
156              0              0    2.72595e-05
157              0              0    2.72569e-05
158              0              0    2.73546e-05
159              0              0    2.75178e-05
160              0              0    2.75131e-05
161              0              0    2.76028e-05
162              0              0    2.76766e-05
163              0              0    2.77396e-05
164              0              0    2.78332e-05
165              0              0    2.78832e-05
166              0              0    2.79702e-05
167              0              0      2.804e-05
168              0              0    2.81191e-05
169              0              0    2.82089e-05
170              0              0     2.8281e-05
171              0              0    2.83448e-05
172              0              0      2.844e-05
173              0              0    2.85765e-05
174              0              0    2.86747e-05
175              0              0    2.87483e-05
176              0              0    2.88035e-05
177              0              0    2.88831e-05
178              0              0    2.90001e-05
179              0              0    2.90833e-05
180              0              0    2.91969e-05
181              0              0    2.93152e-05
182              0              0    2.93406e-05
183              0              0    2.95055e-05
184              0              0    2.95506e-05
185              0              0    2.96913e-05
186              0              0    2.98677e-05
187              0              0     2.9932e-05
188              0              0    3.00699e-05
189              0              0    3.01762e-05
190              0              0    3.03137e-05
191              0              0    3.05011e-05
192              0              0     3.0551e-05
193              0              0    3.07295e-05
194              0              0    3.08416e-05
195              0              0    3.10033e-05
196              0              0    3.11125e-05
197              0              0    3.12574e-05
198              0              0    3.13882e-05
199              0              0    3.15194e-05
200              0              0     3.1689e-05
201              0              0    3.18846e-05
202              0              0    3.20014e-05
203              0              0    3.21401e-05
204              0              0    3.23923e-05
205              0              0    3.25169e-05
206              0              0    3.27346e-05
207              0              0    3.29714e-05
208              0              0     3.3136e-05
209              0              0    3.33433e-05
210              0              0    3.35801e-05
211              0              0    3.37379e-05
212              0              0     3.3926e-05
213              0              0    3.42136e-05
214              0              0    3.44022e-05
215              0              0    3.46597e-05
216              0              0     3.4929e-05
217              0              0    3.51511e-05
218              0              0    3.54064e-05
219              0              0    3.56964e-05
220              0              0     3.5986e-05
221              0              0    3.63137e-05
222              0              0    3.66114e-05
223              0              0     3.6892e-05
224              0              0    3.72199e-05
225              0              0    3.76138e-05
226              0              0    3.79333e-05
227              0              0    3.83975e-05
228              0              0    3.88458e-05
229              0              0     3.9303e-05
230              0              0       3.97e-05
231              0              0    4.02131e-05
232              0              0    4.06637e-05
233              0              0    4.12711e-05
234              0              0     4.1804e-05
235              0              0    4.23896e-05
236              0              0    4.30061e-05
237              0              0    4.37321e-05
238              0              0    4.44113e-05
239              0              0    4.52244e-05
240              0              0    4.60453e-05
241              0              0    4.69807e-05
242              0              0    4.80165e-05
243              0              0     4.9175e-05
244              0              0     5.0349e-05
245              0              0    5.17407e-05
246              0              0    5.31633e-05
247              0              0    5.48931e-05
248              0              0    5.67093e-05
249              0              0       5.89e-05
250              0              0    6.14506e-05
251              0              0    6.45645e-05
252              0              0     6.8215e-05
253              0              0    7.27156e-05
254              0              0    7.79696e-05
255              0              0     8.3633e-05
256              0              0    8.91138e-05
257              0              0    9.31481e-05
258              0              0    9.38547e-05
259              0              0    8.96258e-05
260              0              0    7.97806e-05
261              0              0    6.53103e-05
262              0              0    4.83439e-05
263              0              0    3.22023e-05
264              0              0    1.90393e-05
265              0              0    9.94289e-06
266              0              0    4.47992e-06
267              0              0    1.78101e-06
268              0              0    6.22778e-07
269              0              0    2.07398e-07
270              0              0    7.46897e-08
271              0              0    3.35072e-08
272              0              0    3.58033e-08
273              0              0    3.40744e-08
274              0              0    2.86748e-08
275              0              0    2.66372e-08
276              0              0    2.57423e-08
277              0              0    2.41734e-08
278              0              0    2.70145e-08
279              0              0    3.12074e-08
280              0              0    2.43282e-08
281              0              0    2.09521e-08
282              0              0     2.4923e-08
283              0              0    2.44751e-08
284              0              0    2.10764e-08
