x_index        y_index        z_index      Dose (Gy)
0              0              0    7.28032e-08
1              0              0     7.6851e-08
2              0              0    7.57588e-08
3              0              0    7.69239e-08
4              0              0    7.71038e-08
5              0              0    7.55762e-08
6              0              0    7.62702e-08
7              0              0    7.82829e-08
8              0              0     7.8373e-08
9              0              0    7.67022e-08
10              0              0     7.9164e-08
11              0              0    8.05633e-08
12              0              0    7.77992e-08
13              0              0    7.87383e-08
14              0              0     7.8487e-08
15              0              0    8.00182e-08
16              0              0    7.95353e-08
17              0              0    8.04508e-08
18              0              0     8.1635e-08
19              0              0    8.01196e-08
20              0              0    8.18744e-08
21              0              0    8.21407e-08
22              0              0    8.34343e-08
23              0              0    8.29911e-08
24              0              0    8.10484e-08
25              0              0    8.21174e-08
26              0              0      8.226e-08
27              0              0    8.14143e-08
28              0              0    8.17797e-08
29              0              0    8.33588e-08
30              0              0    8.16176e-08
31              0              0    8.15119e-08
32              0              0    8.28519e-08
33              0              0    8.27489e-08
34              0              0    8.22485e-08
35              0              0     8.2508e-08
36              0              0    8.23087e-08
37              0              0    8.67496e-08
38              0              0    8.47908e-08
39              0              0    8.51741e-08
40              0              0     8.4327e-08
41              0              0    8.37168e-08
42              0              0    8.37518e-08
43              0              0    8.46581e-08
44              0              0    8.34078e-08
45              0              0    8.40098e-08
46              0              0    8.43245e-08
47              0              0    8.36801e-08
48              0              0    8.53265e-08
49              0              0    8.60199e-08
50              0              0    8.52383e-08
51              0              0      8.551e-08
52              0              0    8.65734e-08
53              0              0    8.74445e-08
54              0              0    8.58973e-08
55              0              0     8.6741e-08
56              0              0    8.71835e-08
57              0              0    8.56041e-08
58              0              0    8.55549e-08
59              0              0    8.61299e-08
60              0              0    8.58518e-08
61              0              0    8.63254e-08
62              0              0    8.53225e-08
63              0              0    8.49255e-08
64              0              0    8.90379e-08
65              0              0    8.98471e-08
66              0              0    8.95375e-08
67              0              0    8.88023e-08
68              0              0    8.80274e-08
69              0              0     8.7424e-08
70              0              0    9.07714e-08
71              0              0    9.06852e-08
72              0              0    8.84352e-08
73              0              0    8.99496e-08
74              0              0    9.29788e-08
75              0              0    8.97478e-08
76              0              0    8.99164e-08
77              0              0    8.95188e-08
78              0              0    9.03493e-08
79              0              0    8.96488e-08
80              0              0    8.98904e-08
81              0              0    8.85841e-08
82              0              0    8.97862e-08
83              0              0    9.16033e-08
84              0              0    9.34305e-08
85              0              0    8.86917e-08
86              0              0    9.06808e-08
87              0              0    9.01479e-08
88              0              0    9.03714e-08
89              0              0    9.00534e-08
90              0              0    9.34394e-08
91              0              0    9.28191e-08
92              0              0    9.40558e-08
93              0              0    9.36445e-08
94              0              0    9.42447e-08
95              0              0     9.2777e-08
96              0              0    9.08325e-08
97              0              0    9.14192e-08
98              0              0    9.15772e-08
99              0              0    9.36496e-08
100              0              0    9.27195e-08
101              0              0    9.22391e-08
102              0              0    9.38066e-08
103              0              0    9.20617e-08
104              0              0    9.32299e-08
105              0              0    9.31028e-08
106              0              0    9.29317e-08
107              0              0    9.23753e-08
108              0              0    9.27108e-08
109              0              0    9.42941e-08
110              0              0    9.32254e-08
111              0              0    9.58833e-08
112              0              0     9.6512e-08
113              0              0    9.64854e-08
114              0              0    9.50403e-08
115              0              0    9.52521e-08
116              0              0     9.5327e-08
117              0              0    9.65987e-08
118              0              0    9.56796e-08
119              0              0    9.51463e-08
120              0              0     9.5456e-08
121              0              0    9.61416e-08
122              0              0    9.47148e-08
123              0              0     9.5672e-08
124              0              0    9.44802e-08
125              0              0     9.8414e-08
126              0              0    9.41278e-08
127              0              0    9.55281e-08
128              0              0    9.65329e-08
129              0              0    9.44615e-08
130              0              0     9.5284e-08
131              0              0    9.51664e-08
132              0              0    9.38548e-08
133              0              0    9.43238e-08
134              0              0    9.62203e-08
135              0              0     9.5624e-08
136              0              0    1.00064e-07
137              0              0    9.80099e-08
138              0              0    9.93037e-08
139              0              0    9.86424e-08
140              0              0    9.80388e-08
141              0              0     9.8593e-08
142              0              0     9.8344e-08
143              0              0    9.84186e-08
144              0              0    9.93362e-08
145              0              0    9.99889e-08
146              0              0    1.02366e-07
147              0              0    1.01326e-07
148              0              0    1.01753e-07
149              0              0    1.00109e-07
150              0              0    1.01779e-07
151              0              0    1.02631e-07
152              0              0    1.01512e-07
153              0              0    9.99241e-08
154              0              0     1.0105e-07
155              0              0    1.00038e-07
156              0              0    1.02675e-07
157              0              0    1.01652e-07
158              0              0    9.99195e-08
159              0              0    1.01941e-07
160              0              0    1.01049e-07
161              0              0    1.01752e-07
162              0              0    1.02576e-07
163              0              0    1.02651e-07
164              0              0     1.0586e-07
165              0              0    1.03518e-07
166              0              0    1.02758e-07
167              0              0    1.04197e-07
168              0              0    1.03445e-07
169              0              0    1.03677e-07
170              0              0    1.05205e-07
171              0              0    1.05057e-07
172              0              0    1.04918e-07
173              0              0    1.05994e-07
174              0              0     1.0567e-07
175              0              0    1.05697e-07
176              0              0    1.06833e-07
177              0              0    1.07033e-07
178              0              0    1.07014e-07
179              0              0    1.06463e-07
180              0              0    1.08654e-07
181              0              0    1.08862e-07
182              0              0    1.08143e-07
183              0              0     1.1324e-07
184              0              0    1.13485e-07
185              0              0    1.11269e-07
186              0              0     1.1119e-07
187              0              0    1.10052e-07
188              0              0    1.10552e-07
189              0              0    1.11646e-07
190              0              0    1.11999e-07
191              0              0     1.1376e-07
192              0              0    1.12855e-07
193              0              0    1.11808e-07
194              0              0    1.13428e-07
195              0              0    1.13949e-07
196              0              0    1.14411e-07
197              0              0    1.16613e-07
198              0              0    1.17003e-07
199              0              0    1.16391e-07
200              0              0     1.1575e-07
201              0              0    1.18138e-07
202              0              0    1.17747e-07
203              0              0    1.18009e-07
204              0              0     1.1873e-07
205              0              0    1.21324e-07
206              0              0    1.21978e-07
207              0              0    1.22866e-07
208              0              0    1.23814e-07
209              0              0    1.23799e-07
210              0              0    1.23562e-07
211              0              0    1.25962e-07
212              0              0    1.28455e-07
213              0              0    1.28859e-07
214              0              0    1.25856e-07
215              0              0    1.27278e-07
216              0              0    1.28776e-07
217              0              0    1.31742e-07
218              0              0    1.31978e-07
219              0              0    1.31313e-07
220              0              0    1.34724e-07
221              0              0    1.35182e-07
222              0              0    1.36023e-07
223              0              0    1.35789e-07
224              0              0    1.37215e-07
225              0              0    1.38069e-07
226              0              0    1.39561e-07
227              0              0    1.41194e-07
228              0              0    1.43523e-07
229              0              0    1.45623e-07
230              0              0    1.46363e-07
231              0              0    1.48161e-07
232              0              0    1.49855e-07
233              0              0    1.51678e-07
234              0              0     1.5366e-07
235              0              0    1.56054e-07
236              0              0    1.59827e-07
237              0              0    1.61472e-07
238              0              0     1.6614e-07
239              0              0    1.65956e-07
240              0              0    1.70511e-07
241              0              0    1.74961e-07
242              0              0    1.78618e-07
243              0              0    1.83645e-07
244              0              0    1.88871e-07
245              0              0    1.93081e-07
246              0              0    1.98377e-07
247              0              0    2.03196e-07
248              0              0    2.10495e-07
249              0              0    2.20309e-07
250              0              0    2.31858e-07
251              0              0    2.39566e-07
252              0              0    2.50966e-07
253              0              0    2.68959e-07
254              0              0    2.87217e-07
255              0              0    3.07713e-07
256              0              0    3.24871e-07
257              0              0    3.35613e-07
258              0              0    3.36088e-07
259              0              0     3.2283e-07
260              0              0    2.88501e-07
261              0              0    2.33956e-07
262              0              0    1.76383e-07
263              0              0     1.1636e-07
264              0              0    6.80917e-08
265              0              0    3.51854e-08
266              0              0    1.73873e-08
267              0              0    5.86052e-09
268              0              0    2.63165e-09
269              0              0    1.02134e-09
270              0              0    3.02254e-10
271              0              0     1.3812e-10
272              0              0    2.05701e-10
273              0              0    7.55554e-11
274              0              0    5.68242e-11
275              0              0    2.47742e-10
276              0              0    8.87442e-11
277              0              0    2.58205e-10
278              0              0    6.34516e-11
279              0              0    7.56419e-11
280              0              0    7.87231e-11
281              0              0    1.20743e-10
282              0              0    6.39389e-11
283              0              0      8.481e-11
284              0              0    1.42993e-10
285              0              0    1.83202e-10
286              0              0    1.22685e-10
287              0              0    5.01756e-11
288              0              0    2.73894e-10
289              0              0    2.78237e-10
290              0              0    2.13353e-10
291              0              0    4.04819e-11
292              0              0    4.74502e-11
293              0              0    4.45599e-11
294              0              0    6.49659e-11
295              0              0    3.07055e-11
296              0              0    7.56412e-11
297              0              0    2.48445e-10
298              0              0    3.50238e-11
299              0              0    4.03641e-11
300              0              0    5.37098e-11
301              0              0    1.54788e-10
302              0              0    1.99155e-10
303              0              0    1.61081e-10
304              0              0    1.49867e-10
305              0              0    1.86361e-10
306              0              0    5.67855e-11
307              0              0    7.57508e-11
308              0              0    1.03011e-10
309              0              0    2.59629e-10
310              0              0    1.45138e-10
311              0              0    4.97498e-11
312              0              0    3.69855e-10
313              0              0    4.37736e-10
314              0              0    9.41554e-11
315              0              0    2.19056e-10
316              0              0    4.96225e-10
317              0              0    6.99028e-10
318              0              0    1.58861e-10
319              0              0    1.68913e-10
320              0              0     4.6627e-10
321              0              0    2.27407e-10
322              0              0    9.58877e-11
323              0              0    2.61267e-10
324              0              0    1.76011e-10
325              0              0    1.48184e-10
326              0              0    1.47645e-10
327              0              0    2.26525e-10
328              0              0    2.49265e-10
329              0              0    2.55793e-11
330              0              0    5.27974e-11
331              0              0    2.59052e-11
332              0              0    2.94018e-11
333              0              0    2.18579e-11
334              0              0    4.50514e-11
335              0              0    3.66271e-11
336              0              0    1.47738e-11
337              0              0    1.95449e-11
338              0              0    3.14443e-11
339              0              0    3.12301e-11
340              0              0    2.93089e-11
341              0              0    4.56868e-11
342              0              0    1.62962e-10
343              0              0    2.50842e-11
344              0              0    2.01941e-11
345              0              0    2.07735e-11
346              0              0    1.55795e-11
347              0              0    2.14543e-11
348              0              0    1.84632e-11
349              0              0    1.97597e-11
350              0              0    3.81193e-11
351              0              0    5.94703e-11
352              0              0    4.19803e-11
353              0              0    5.01702e-11
354              0              0     1.3106e-10
355              0              0    4.80157e-11
356              0              0    4.92897e-11
357              0              0    9.12678e-11
358              0              0    5.36032e-11
359              0              0    4.05247e-11
360              0              0    2.42684e-11
361              0              0     2.7775e-11
362              0              0    1.22189e-10
363              0              0    3.00362e-11
364              0              0    3.62501e-11
365              0              0    3.25417e-11
366              0              0    3.70836e-11
367              0              0    5.60543e-11
368              0              0    4.19592e-11
369              0              0    1.14509e-10
370              0              0    3.98005e-11
371              0              0    3.91217e-11
372              0              0    9.35725e-11
373              0              0    3.13667e-10
374              0              0    7.11845e-11
375              0              0    1.23762e-10
376              0              0    1.92874e-10
377              0              0    8.53521e-11
378              0              0     2.2356e-10
379              0              0    2.64709e-10
380              0              0     9.1999e-11
381              0              0    1.19736e-10
382              0              0    4.85996e-10
383              0              0    2.06747e-10
384              0              0    2.50503e-11
385              0              0    3.71241e-11
386              0              0    2.88397e-11
387              0              0    3.19944e-11
388              0              0    3.38399e-11
389              0              0    4.02508e-11
390              0              0    3.27606e-11
391              0              0    5.23835e-11
392              0              0    4.35341e-11
393              0              0    4.18126e-11
394              0              0    4.73987e-11
395              0              0    1.24796e-10
396              0              0    8.13519e-11
397              0              0    1.35861e-10
398              0              0    3.64691e-12
399              0              0    3.25922e-11
