x_index        y_index        z_index      Dose (Gy)
0              0              0              0
0              1              0    9.43484e-11
0              2              0    2.26653e-10
0              3              0    9.96102e-17
0              4              0              0
0              5              0              0
0              6              0    1.60076e-11
0              7              0              0
0              8              0    4.63022e-10
0              9              0              0
0             10              0     5.8797e-10
0             11              0    1.20587e-15
0             12              0    3.23626e-10
0             13              0    1.50577e-10
0             14              0    1.93026e-09
0             15              0    8.11605e-12
0             16              0    3.52823e-10
0             17              0    2.11525e-09
0             18              0    2.60154e-09
0             19              0    2.45868e-09
0             20              0    1.76634e-09
0             21              0    1.93477e-09
0             22              0              0
0             23              0    2.71466e-09
0             24              0    3.83197e-10
0             25              0    1.61071e-10
0             26              0     2.0223e-10
0             27              0    2.29801e-09
0             28              0    1.52033e-10
0             29              0    1.68116e-09
0             30              0    7.91004e-17
0             31              0              0
0             32              0    2.86455e-09
0             33              0    7.28439e-09
0             34              0    3.88418e-11
0             35              0    1.16241e-09
0             36              0    4.68052e-09
0             37              0    1.62808e-08
0             38              0    1.25244e-08
0             39              0     7.2988e-10
0             40              0     6.9056e-09
0             41              0    6.05789e-09
0             42              0    2.82398e-09
0             43              0    1.29616e-08
0             44              0    2.01095e-08
0             45              0    1.73232e-08
0             46              0    3.27644e-08
0             47              0    4.38175e-08
0             48              0    1.15615e-07
0             49              0    7.38923e-06
0             50              0    6.51258e-05
0             51              0    1.19126e-07
0             52              0    5.27361e-08
0             53              0    6.19999e-08
0             54              0    3.81736e-08
0             55              0     2.2075e-08
0             56              0    1.19371e-08
0             57              0    5.65757e-09
0             58              0    8.87045e-09
0             59              0    4.04577e-09
0             60              0    5.97005e-09
0             61              0     3.4971e-09
0             62              0    1.75433e-08
0             63              0    5.22578e-09
0             64              0    7.43382e-09
0             65              0    1.02412e-08
0             66              0    7.04798e-09
0             67              0    1.88152e-08
0             68              0    3.13804e-08
0             69              0    1.13279e-08
0             70              0    4.29845e-10
0             71              0    6.63303e-10
0             72              0    2.25356e-10
0             73              0     2.6315e-10
0             74              0     4.9059e-09
0             75              0    9.21855e-09
0             76              0    7.95127e-11
0             77              0    2.80667e-10
0             78              0              0
0             79              0    3.98508e-11
0             80              0    3.20286e-11
0             81              0    4.78305e-09
0             82              0     5.5088e-09
0             83              0    6.55414e-09
0             84              0    5.22362e-09
0             85              0              0
0             86              0    3.08642e-11
0             87              0              0
0             88              0    6.65174e-10
0             89              0    1.09585e-08
0             90              0              0
0             91              0              0
0             92              0    1.66332e-10
0             93              0    2.44024e-10
0             94              0    4.20824e-11
0             95              0              0
0             96              0              0
0             97              0    4.89558e-11
0             98              0              0
0             99              0              0
1              0              0              0
1              1              0     2.6787e-10
1              2              0    1.26661e-10
1              3              0              0
1              4              0              0
1              5              0              0
1              6              0              0
1              7              0    5.22666e-11
1              8              0    3.29238e-10
1              9              0    1.70287e-10
1             10              0    1.62798e-11
1             11              0     3.0851e-10
1             12              0    4.40209e-10
1             13              0    7.94881e-10
1             14              0    1.11121e-08
1             15              0     6.4927e-09
1             16              0    3.08982e-10
1             17              0    2.73898e-10
1             18              0    4.00934e-10
1             19              0              0
1             20              0    1.97237e-10
1             21              0     9.0062e-10
1             22              0    1.83596e-09
1             23              0    1.75736e-09
1             24              0    2.36496e-09
1             25              0    3.56634e-09
1             26              0    1.80117e-09
1             27              0              0
1             28              0     9.7192e-17
1             29              0    1.32928e-08
1             30              0    9.34415e-10
1             31              0    2.98358e-10
1             32              0    7.74893e-11
1             33              0    3.37478e-10
1             34              0    4.66715e-09
1             35              0    1.19104e-08
1             36              0    8.80968e-09
1             37              0    1.31658e-08
1             38              0    1.59297e-08
1             39              0    2.94675e-08
1             40              0    2.76057e-08
1             41              0    2.18596e-08
1             42              0    1.45889e-08
1             43              0    1.64465e-08
